Learning_Rate, Max_Iterations, Tolerance, Alpha, MSE, R2
optimal, 100, 0.01, 0.001, 3.204434615182079, 0.15603621888651936
optimal, 500, 0.0001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 500, 0.001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 500, 0.01, 0.001, 3.204434615182079, 0.15603621888651936
optimal, 1000, 0.0001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 1000, 0.001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 1000, 0.01, 0.001, 3.204434615182079, 0.15603621888651936
invscaling, 100, 0.0001, 0.001, 4.353429336884697, -0.14794620472538106
invscaling, 100, 0.001, 0.001, 4.353429336884697, -0.14794620472538106
invscaling, 100, 0.01, 0.001, 4.353429336884697, -0.14794620472538106
invscaling, 500, 0.0001, 0.001, 2.824620379472821, 0.2553992002348798
invscaling, 500, 0.001, 0.001, 2.9857646414788714, 0.2130010186670479
invscaling, 500, 0.01, 0.001, 4.171792139424751, -0.09992976705767878
invscaling, 1000, 0.0001, 0.001, 2.8231430738600274, 0.25579157808762115
invscaling, 1000, 0.001, 0.001, 2.9857646414788714, 0.2130010186670479
invscaling, 1000, 0.01, 0.001, 4.171792139424751, -0.09992976705767878
adaptive, 100, 0.0001, 0.001, 2.801598631910971, 0.2614508331598337
adaptive, 100, 0.001, 0.001, 2.802990486068217, 0.26107461040665697
adaptive, 100, 0.01, 0.001, 2.8157804398267317, 0.2577138468630105
adaptive, 500, 0.0001, 0.001, 2.801598631910971, 0.2614508331598337
adaptive, 500, 0.001, 0.001, 2.802990486068217, 0.26107461040665697
adaptive, 500, 0.01, 0.001, 2.8157804398267317, 0.2577138468630105
adaptive, 1000, 0.0001, 0.001, 2.801598631910971, 0.2614508331598337
adaptive, 1000, 0.001, 0.001, 2.802990486068217, 0.26107461040665697
adaptive, 1000, 0.01, 0.001, 2.8157804398267317, 0.2577138468630105
constant, 100, 0.0001, 0.001, 2.8011866603285234, 0.26164014069483627
constant, 100, 0.001, 0.001, 2.802665840646225, 0.26126717788177495
constant, 100, 0.01, 0.001, 2.7981857906803542, 0.26238170002322825
constant, 500, 0.0001, 0.001, 2.8011866603285234, 0.26164014069483627
constant, 500, 0.001, 0.001, 2.802665840646225, 0.26126717788177495
constant, 500, 0.01, 0.001, 2.7981857906803542, 0.26238170002322825
constant, 1000, 0.0001, 0.001, 2.8011866603285234, 0.26164014069483627
constant, 1000, 0.001, 0.001, 2.802665840646225, 0.26126717788177495
constant, 1000, 0.01, 0.001, 2.7981857906803542, 0.26238170002322825
optimal, 100, 0.0001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 100, 0.001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 100, 0.01, 0.001, 3.204434615182079, 0.15603621888651936
optimal, 500, 0.0001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 500, 0.001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 500, 0.01, 0.001, 3.204434615182079, 0.15603621888651936
optimal, 1000, 0.0001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 1000, 0.001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 1000, 0.01, 0.001, 3.204434615182079, 0.15603621888651936
invscaling, 100, 0.0001, 0.001, 2.801384349368679, 0.26150353464271403
invscaling, 100, 0.001, 0.001, 2.805569037716809, 0.26039605620143413
invscaling, 100, 0.01, 0.001, 2.8307042734948356, 0.25379449469654247
invscaling, 500, 0.0001, 0.001, 2.801384349368679, 0.26150353464271403
invscaling, 500, 0.001, 0.001, 2.805569037716809, 0.26039605620143413
invscaling, 500, 0.01, 0.001, 2.8307042734948356, 0.25379449469654247
invscaling, 1000, 0.0001, 0.001, 2.801384349368679, 0.26150353464271403
invscaling, 1000, 0.001, 0.001, 2.805569037716809, 0.26039605620143413
invscaling, 1000, 0.01, 0.001, 2.8307042734948356, 0.25379449469654247
adaptive, 100, 0.0001, 0.001, 2.8014778029462444, 0.26151180598869483
adaptive, 100, 0.001, 0.001, 2.8015421549315334, 0.2615102886823529
adaptive, 100, 0.01, 0.001, 2.8001566905783717, 0.26186216983259614
adaptive, 500, 0.0001, 0.001, 2.8014778029462444, 0.26151180598869483
adaptive, 500, 0.001, 0.001, 2.8015421549315334, 0.2615102886823529
adaptive, 500, 0.01, 0.001, 2.8001566905783717, 0.26186216983259614
adaptive, 1000, 0.0001, 0.001, 2.8014778029462444, 0.26151180598869483
adaptive, 1000, 0.001, 0.001, 2.8015421549315334, 0.2615102886823529
adaptive, 1000, 0.01, 0.001, 2.8001566905783717, 0.26186216983259614
constant, 100, 0.0001, 0.001, 3.092917480315686, 0.1851316873749758
constant, 100, 0.001, 0.001, 3.152392424044485, 0.1697553030558924
constant, 100, 0.01, 0.001, 3.142754061984554, 0.17234555727825682
constant, 500, 0.0001, 0.001, 3.092917480315686, 0.1851316873749758
constant, 500, 0.001, 0.001, 3.152392424044485, 0.1697553030558924
constant, 500, 0.01, 0.001, 3.142754061984554, 0.17234555727825682
constant, 1000, 0.0001, 0.001, 3.092917480315686, 0.1851316873749758
constant, 1000, 0.001, 0.001, 3.152392424044485, 0.1697553030558924
constant, 1000, 0.01, 0.001, 3.142754061984554, 0.17234555727825682
optimal, 100, 0.0001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 100, 0.001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 100, 0.01, 0.001, 3.204434615182079, 0.15603621888651936
optimal, 500, 0.0001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 500, 0.001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 500, 0.01, 0.001, 3.204434615182079, 0.15603621888651936
optimal, 1000, 0.0001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 1000, 0.001, 0.001, 3.1647626817950325, 0.16669782220938623
optimal, 1000, 0.01, 0.001, 3.204434615182079, 0.15603621888651936
invscaling, 100, 0.0001, 0.001, 2.7931739255708536, 0.2636453858110987
invscaling, 100, 0.001, 0.001, 2.800564057111616, 0.26180276137448705
invscaling, 100, 0.01, 0.001, 2.7997797999565335, 0.2618912691500254
invscaling, 500, 0.0001, 0.001, 2.7931739255708536, 0.2636453858110987
invscaling, 500, 0.001, 0.001, 2.800564057111616, 0.26180276137448705
invscaling, 500, 0.01, 0.001, 2.7997797999565335, 0.2618912691500254
invscaling, 1000, 0.0001, 0.001, 2.7931739255708536, 0.2636453858110987
invscaling, 1000, 0.001, 0.001, 2.800564057111616, 0.26180276137448705
invscaling, 1000, 0.01, 0.001, 2.7997797999565335, 0.2618912691500254
adaptive, 100, 0.0001, 0.001, 2.801487798728708, 0.26151401406731456
adaptive, 100, 0.001, 0.001, 2.801364539186374, 0.2615503185736586
adaptive, 100, 0.01, 0.001, 2.8025450938708665, 0.2612250298645226
adaptive, 500, 0.0001, 0.001, 2.801487798728708, 0.26151401406731456
adaptive, 500, 0.001, 0.001, 2.801364539186374, 0.2615503185736586
adaptive, 500, 0.01, 0.001, 2.8025450938708665, 0.2612250298645226
adaptive, 1000, 0.0001, 0.001, 2.801487798728708, 0.26151401406731456
adaptive, 1000, 0.001, 0.001, 2.801364539186374, 0.2615503185736586
adaptive, 1000, 0.01, 0.001, 2.8025450938708665, 0.2612250298645226
constant, 100, 0.0001, 0.01, 2.8014536931036846, 0.2614916729033253
constant, 100, 0.001, 0.01, 2.8037339355537947, 0.2608851823316174
constant, 100, 0.01, 0.01, 2.821329634058781, 0.2562608711333558
constant, 500, 0.0001, 0.01, 2.8014536931036846, 0.2614916729033253
constant, 500, 0.001, 0.01, 2.8037339355537947, 0.2608851823316174
constant, 500, 0.01, 0.01, 2.821329634058781, 0.2562608711333558
constant, 1000, 0.0001, 0.01, 2.8014536931036846, 0.2614916729033253
constant, 1000, 0.001, 0.01, 2.8037339355537947, 0.2608851823316174
constant, 1000, 0.01, 0.01, 2.821329634058781, 0.2562608711333558
optimal, 100, 0.0001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 100, 0.001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 100, 0.01, 0.01, 2.8793533503663964, 0.24057657927147996
optimal, 500, 0.0001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 500, 0.001, 0.01, 2.85092392486728, 0.2482804543892784
optimal, 500, 0.01, 0.01, 2.8793533503663964, 0.24057657927147996
optimal, 1000, 0.0001, 0.01, 2.85092392486728, 0.2482804543892784
